--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:45:14.051 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:14.051 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:14.071 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:14.071 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:14.071 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:14.191 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:14.191 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:14.191 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:14.231 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:14.231 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:14.241 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:14.241 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:14.241 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:14.351 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:14.361 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:14.361 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:14.401 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:14.401 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:14.421 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:14.421 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:14.421 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:14.522 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:14.522 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:14.532 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:14.582 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:14.582 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:14.592 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:14.592 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:14.592 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:14.702 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:14.722 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:14.722 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:14.782 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:14.792 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:14.802 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:14.802 I/libframegrabber(11913): ---av_read_frame ED
