--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:03:35.273 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:35.273 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:35.273 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:35.403 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:35.403 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:35.413 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:35.453 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:35.453 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:35.473 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:35.473 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:35.473 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:35.604 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:35.604 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:35.604 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:35.644 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:35.644 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:35.654 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:35.654 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:35.654 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:35.774 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:35.784 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:35.784 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:35.844 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:35.844 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:35.854 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:35.854 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:35.854 I/libframegrabber(11612): ---avcodec_decode_video2 ST
